都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352012,,山口県,下関市,2020-09-30,清末_清末鞍馬三丁目,368,172,196,8,17,6,13,6,8,7,8,6,7,10,15,8,8,19,11,8,16,16,12,15,8,11,7,8,6,6,13,12,15,13,16,7,8,6,8,166,
352012,,山口県,下関市,2020-09-30,清末_清末鞍馬四丁目,246,109,137,5,4,4,8,8,4,8,4,4,4,0,9,5,5,10,9,3,5,8,9,8,4,8,8,6,10,3,8,9,12,8,15,8,9,4,10,121,
352012,,山口県,下関市,2020-09-30,清末_清末鞍馬五丁目,64,31,33,0,0,0,0,0,0,0,0,3,2,4,2,1,2,1,0,1,0,2,1,3,3,3,6,4,1,2,1,4,4,0,1,2,3,1,7,37,
352012,,山口県,下関市,2020-09-30,清末_赤池町,49,20,29,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,3,1,1,0,1,2,0,1,2,3,1,3,4,3,2,3,2,5,2,3,24,
352012,,山口県,下関市,2020-09-30,清末_清末大門,64,27,37,1,3,1,2,2,4,2,3,1,0,1,2,1,2,1,2,3,1,2,2,1,1,1,1,1,2,4,2,1,5,1,0,0,3,3,2,25,
352012,,山口県,下関市,2020-09-30,清末_清末千房一丁目,99,43,56,1,0,0,1,4,5,6,8,2,5,0,1,1,0,1,2,2,4,8,7,4,7,1,1,3,2,1,3,3,3,2,3,2,1,2,3,38,
352012,,山口県,下関市,2020-09-30,清末_清末千房二丁目,256,119,137,11,12,10,8,9,11,5,9,6,8,9,10,4,7,11,10,13,18,15,13,7,4,2,6,2,5,11,8,2,1,1,2,0,3,1,2,108,
352012,,山口県,下関市,2020-09-30,清末_清末千房三丁目,167,83,84,6,11,7,7,2,4,5,5,2,3,4,4,14,5,10,10,9,7,1,6,6,2,2,5,7,2,0,3,3,3,2,2,1,2,2,3,68,
352012,,山口県,下関市,2020-09-30,清末_清末東町一丁目,72,38,34,1,2,2,0,4,1,1,2,3,2,0,0,1,2,2,3,5,3,4,2,0,0,0,3,4,5,5,4,0,1,1,2,2,0,3,2,29,
352012,,山口県,下関市,2020-09-30,清末_清末東町二丁目・清末東町三丁目,57,23,34,0,2,0,2,2,0,3,1,2,2,0,1,0,2,1,1,1,3,2,1,2,1,0,3,1,1,2,2,3,7,1,1,2,2,1,2,22,
352012,,山口県,下関市,2020-09-30,清末_清末東町四丁目,25,10,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,4,2,2,1,3,0,0,2,3,13,
352012,,山口県,下関市,2020-09-30,清末_清末東町五丁目,76,38,38,1,0,1,0,2,1,1,3,1,0,1,0,2,2,2,1,5,1,3,3,5,1,2,2,2,4,4,3,2,5,2,3,2,4,0,5,42,
352012,,山口県,下関市,2020-09-30,清末_清末東町六丁目,51,23,28,0,2,1,0,1,0,0,1,1,0,0,0,1,2,1,2,4,0,0,1,1,2,0,1,1,1,5,4,3,4,2,3,1,2,1,3,26,
352012,,山口県,下関市,2020-09-30,清末_大字清末,207,103,104,1,3,2,0,2,2,2,2,7,6,2,2,2,1,3,3,8,3,9,6,10,11,5,6,6,7,2,14,17,13,12,12,8,9,5,4,113,
352012,,山口県,下関市,2020-09-30,清末_大字阿内,376,178,198,5,2,8,8,8,10,2,5,2,7,2,1,5,3,7,6,16,8,11,7,8,11,10,11,11,18,24,19,16,26,15,17,15,16,13,23,176,
352012,,山口県,下関市,2020-09-30,小月_小月駅前一丁目,270,117,153,7,4,4,2,5,7,4,11,5,8,8,5,7,3,9,7,5,4,11,17,10,13,9,11,5,14,9,7,4,7,6,10,6,13,3,10,140,
352012,,山口県,下関市,2020-09-30,小月_小月茶屋一丁目,211,95,116,5,6,5,5,5,1,5,2,2,2,3,3,2,1,1,11,8,5,7,5,6,4,5,6,5,6,5,8,8,12,11,10,5,12,7,17,103,
352012,,山口県,下関市,2020-09-30,小月_小月茶屋二丁目,340,157,183,12,3,12,10,4,8,13,8,6,4,6,7,4,11,12,12,12,9,12,13,7,6,7,14,10,11,9,15,13,16,8,7,4,15,6,14,150,
352012,,山口県,下関市,2020-09-30,小月_小月茶屋三丁目,325,153,172,2,1,3,3,3,8,9,7,8,16,9,9,5,2,8,5,10,11,12,11,16,14,7,6,14,12,6,9,13,13,13,17,8,15,7,13,186,
352012,,山口県,下関市,2020-09-30,小月_小月杉迫一丁目,552,258,294,7,2,11,14,17,10,16,20,12,7,5,5,11,14,19,14,18,16,12,22,20,23,14,16,17,17,18,27,24,26,16,21,9,17,12,23,250,
352012,,山口県,下関市,2020-09-30,小月_小月杉迫二丁目,460,222,238,8,12,14,10,12,13,16,17,18,10,15,13,13,13,11,13,16,14,17,23,16,14,14,17,9,6,7,11,12,14,10,18,4,11,10,9,196,
352012,,山口県,下関市,2020-09-30,小月_小月杉迫三丁目,215,93,122,4,8,9,6,1,2,3,4,4,9,4,4,4,7,5,4,7,7,6,6,9,6,6,11,4,4,9,7,10,12,3,8,3,8,2,9,111,
352012,,山口県,下関市,2020-09-30,小月_小月公園町,153,77,76,0,2,0,2,4,0,5,4,6,2,4,2,2,0,1,0,1,3,7,5,6,4,5,6,7,3,6,10,9,12,6,5,5,8,3,8,75,
352012,,山口県,下関市,2020-09-30,小月_小月本町一丁目,226,104,122,1,2,1,6,1,2,1,3,1,4,3,2,2,2,5,1,10,5,10,11,16,4,2,5,11,7,5,9,9,17,14,14,7,10,5,18,133,
