防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,住所（緯度経度が不明な場合）,
352080,,,0002600155,ぼうさいおおやま,,,,34°08’27”,132°05’13”,,,旧岩国市,,,
352080,,,0002600156,ぼうさいはたき,,,,34°07’31”,132°06’11”,,,旧岩国市,,,
352080,,,0002600157,ぼうさいいりの,,,,34°08’31”,132°06’01”,,,旧岩国市,,,
352080,,,0002600158,ぼうさいゆきまさ,,,,34°08’51”,132°06’43”,,,旧岩国市,,,
352080,,,0002600159,ぼうさいはぶ,,,,34°09’09”,132°06’08”,,,旧岩国市,,,
352080,,,0002600160,ぼうさいすみ,,,,34°10’01”,132°06’21”,,,旧岩国市,,,
352080,,,0002600161,ぼうさいほそり,,,,34°10’17”,132°06’13”,,,旧岩国市,,,
352080,,,0002600162,ぼうさいくいな,,,,34°10’21”,132°06’32”,,,旧岩国市,,,
352080,,,0002600163,ぼうさいかわらだに,,,,34°10’33”,132°06’58”,,,旧岩国市,,,
352080,,,0002600164,ぼうさいしゅうち,,,,34°10’26”,132°07’54”,,,旧岩国市,,,
352080,,,0002600165,ぼうさいあじな,,,,34°11’04”,132°08’31”,,,旧岩国市,,,
352080,,,0002600166,ぼうさいたはら,,,,34°10’21”,132°08’37”,,,旧岩国市,,,
352080,,,0002600167,ぼうさいみしょうだいよん,,,,34°10’10”,132°09’15”,,,旧岩国市,,,
352080,,,0002600168,ぼうさいみしょう,,,,34°09’44”,132°08’48”,,,旧岩国市,,,
352080,,,0002600169,ぼうさいみしょうだいいち,,,,34°09’56”,132°08’50”,,,旧岩国市,,,
352080,,,0002600170,ぼうさいおおたに,,,,34°09’48”,132°08’36”,,,旧岩国市,,,
352080,,,0002600171,ぼうさいしあんばし,,,,34°09’03”,132°09’16”,,,旧岩国市,,,
352080,,,0002600172,ぼうさいしぎの,,,,34°08’06”,132°08’56”,,,旧岩国市,,,
352080,,,0002600173,ぼうさいふじかわしょう,,,,34°11’07”,132°09’38”,,,旧岩国市,,,
352080,,,0002600174,ぼうさいふじかわ,,,,34°10’50”,132°10’00”,,,旧岩国市,,,
352080,,,0002600175,ぼうさいただ,,,,34°10’32”,132°09’50”,,,旧岩国市,,,
352080,,,0002600176,ぼうさいせきど,,,,34°11’06”,132°10’30”,,,旧岩国市,,,
352080,,,0002600177,ぼうさいおとぜ,,,,34°13’36”,132°11’16”,,,旧岩国市,,,
352080,,,0002600178,ぼうさいみどうばら,,,,34°13’34”,132°12’16”,,,旧岩国市,,,
352080,,,0002600179,ぼうさいおぜ,,,,34°12’57”,132°11’53”,,,旧岩国市,,,
352080,,,0002600180,ぼうさいおぜしょう,,,,34°12’31”,132°11’33”,,,旧岩国市,,,
352080,,,0002600181,ぼうさいしょうぞく,,,,34°11’58”,132°13’45”,,,旧岩国市,,,
352080,,,0002600182,ぼうさいしんみなと,,,,34°11’26”,132°13’46”,,,旧岩国市,,,
352080,,,0002600183,ぼうさいたていし,,,,34°10’45”,132°13’32”,,,旧岩国市,,,
352080,,,0002600184,ぼうさいかつら,,,,34°10’22”,132°14’04”,,,旧岩国市,,,
352080,,,0002600185,ぼうさいひがし,,,,34°10’07”,132°13’36”,,,旧岩国市,,,
352080,,,0002600186,ぼうさいまりふ,,,,34°10’17”,132°13’09”,,,旧岩国市,,,
352080,,,0002600187,ぼうさいむろのき,,,,34°10’18”,132°12’34”,,,旧岩国市,,,
352080,,,0002600188,ぼうさいしやくしょ,,,,34°10’00”,132°13’08”,,,旧岩国市,,,
352080,,,0002600189,ぼうさいいまづ,,,,34°09’37”,132°12’43”,,,旧岩国市,,,
352080,,,0002600190,ぼうさいさくらがおか,,,,34°10’00”,132°12’09”,,,旧岩国市,,,
352080,,,0002600191,ぼうさいせんごくはら,,,,34°10’38”,132°10’43”,,,旧岩国市,,,
352080,,,0002600192,ぼうさいよこやま,,,,34°10’21”,132°10’41”,,,旧岩国市,,,
352080,,,0002600193,ぼうさいにしみ,,,,34°10’02”,132°11’31”,,,旧岩国市,,,
352080,,,0002600194,ぼうさいしんこうじ,,,,34°09’44”,132°11’20”,,,旧岩国市,,,
352080,,,0002600195,ぼうさいちゅうこう,,,,34°09’53”,132°11’06”,,,旧岩国市,,,
352080,,,0002600196,ぼうさいかわにし,,,,34°09’27”,132°10’33”,,,旧岩国市,,,
352080,,,0002600197,ぼうさいあさひ,,,,34°09’42”,132°13’48”,,,旧岩国市,,,
352080,,,0002600198,ぼうさいくるま,,,,34°09’16”,132°13’19”,,,旧岩国市,,,
352080,,,0002600199,ぼうさいこいまづ,,,,34°09’33”,132°13’19”,,,旧岩国市,,,
352080,,,0002600200,ぼうさいくすのき,,,,34°09’24”,132°12’25”,,,旧岩国市,,,
352080,,,0002600201,ぼうさいかわしも,,,,34°09’18”,132°13’07”,,,旧岩国市,,,
352080,,,0002600202,ぼうさいおおやぶ,,,,34°09’23”,132°13’00”,,,旧岩国市,,,
352080,,,0002600203,ぼうさいかわちゅう,,,,34°09’05”,132°12’57”,,,旧岩国市,,,
352080,,,0002600204,ぼうさいもんぜん,,,,34°09’03”,132°12’23”,,,旧岩国市,,,
352080,,,0002600205,ぼうさいいちのわり,,,,34°08’10”,132°13’19”,,,旧岩国市,,,
352080,,,0002600206,ぼうさいあたご,,,,34°08’46”,132°12’45”,,,旧岩国市,,,
