NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
111,情島小・中学校屋内運動場,ナサケジマショウ・チュウガッコウオクナイウンドウジョウ,山口県大島郡周防大島町大字伊保田163,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
112,情島保健福祉会館,ナサケジマホメンフクシカイカン,山口県大島郡周防大島町大字伊保田253－3,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
113,情島公民館,ナサケジマコウミンカン,山口県大島郡周防大島町大字伊保田186-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
114,秋老人憩の家前,アキロウジンイコイノイエマエ,山口県大島郡周防大島町大字秋４６２－１,,,,,,,353051,山口県,周防大島町,1,,,1,1,1,1,,,500(2㎡あたり1人）,,,
115,橘ウインドパークグラウンド,タチバナウインドパークグラウンド,山口県大島郡周防大島町大字西安下庄３９２７－１４,,,,,,,353051,山口県,周防大島町,1,1,,1,1,1,1,,,3000(2㎡あたり1人）,,,
116,安下庄中学校グラウンド,アゲノショウチュウガッコウグラウンド,山口県大島郡周防大島町大字西安下庄５６２,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,2000(2㎡あたり1人）,,,
117,安下庄小学校グラウンド,ｱｹﾞﾉｼｮｳｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,山口県大島郡周防大島町大字西安下庄４１８,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,2000(2㎡あたり1人）,,,
118,周防大島高等学校（安下庄校舎）グラウンド,スオウオオシマコウトウガッコウ（アゲノショウコウシャ）グラウンド,山口県大島郡周防大島町大字西安下庄４８９,,,,,,,353051,山口県,周防大島町,1,,,1,,1,1,,,2000(2㎡あたり1人）,,,
119,古城港湾用地,コジョウコウワンヨウチ,山口県大島郡周防大島町大字東安下庄１８６２－２１６外,,,,,,,353051,山口県,周防大島町,1,1,,1,,1,1,,,1000(2㎡あたり1人）,,,
120,原漁港用地,ハラギョコウヨウチ,山口県大島郡周防大島町大字東安下庄３０１８－５外,,,,,,,353051,山口県,周防大島町,1,1,,1,,1,1,,,2000(2㎡あたり1人）,,,
121,鹿家区民館前,シシノエクミンカンマエ,山口県大島郡周防大島町大字東安下庄４５８－２,,,,,,,353051,山口県,周防大島町,1,,1,1,,1,1,,,100(2㎡あたり1人）,,,
122,森ノ下池跡,モリノシタイケアト,山口県大島郡周防大島町大字日前地内,,,,,,,353051,山口県,周防大島町,1,,1,1,1,1,1,,,1500(2㎡あたり1人）,,,
123,日良居グラウンド,ヒライグラウンド,山口県大島郡周防大島町大字土居１４０３－１,,,,,,,353051,山口県,周防大島町,1,,,1,,1,1,,,2000(2㎡あたり1人）,,,
124,島中小学校グラウンド,シマナカショウガッコウグラウンド,山口県大島郡周防大島町大字土居１３００－４,,,,,,,353051,山口県,周防大島町,1,1,,1,,1,1,,,2000(2㎡あたり1人）,,,
125,たちばな園グラウンド,タチバナエングラウンド,山口県大島郡周防大島町大字油良１０２０,,,,,,,353051,山口県,周防大島町,1,1,1,1,1,1,1,,,1000(2㎡あたり1人）,,,
126,浮島小学校グラウンド,ウカシマショウガッコウグラウンド,山口県大島郡周防大島町大字浮島２０５－１,,,,,,,353051,山口県,周防大島町,1,,,1,,1,1,,,1000(2㎡あたり1人）,,,
127,江ノ浦漁港用地,エノウラギョコウヨウチ,山口県大島郡周防大島町大字浮島２８５－７,,,,,,,353051,山口県,周防大島町,1,,,1,,1,1,,,1000(2㎡あたり1人）,,,
