全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,POIコード,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,画像,画像_ライセンス,URL,備考,
352071,,KD0001100050,山口県下松市,潮風ガーデン,シオカゼガーデン,,,352071,,下松市大字笠戸島,山口県,下松市,大字笠戸島,,,33.9731319,131.8526378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/shiokazegarden/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100051,山口県下松市,笠戸島家族旅行村,カサドジマカゾクリョコウムラ,,,352071,,下松市大字笠戸島10014-1,山口県,下松市,大字笠戸島,10014-1,,33.9700754,131.8526822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://www.kazoku-ryoko.jp,下松観光ガイドブック「観光マップ」,
352071,,KD0001100052,山口県下松市,外史公園,ガイシコウエン,,,352071,,下松市大字笠戸島503-1,山口県,下松市,大字笠戸島,503-1,,33.96868,131.8463787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/gaishi-kouen/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100053,山口県下松市,国民宿舎　大城（大城温泉「潮騒の湯」）,コクミンシュクシャ　オオジョウ（オオジョウオンセン「シオサイノユ」）,,,352071,,下松市大字笠戸島10014-1,山口県,下松市,大字笠戸島,10014-1,,33.9681499,131.84488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://www.oojou.jp,下松観光ガイドブック「観光マップ」,
352071,,KD0001100054,山口県下松市,深浦八幡宮,フカウラハチマングウ,,,352071,,下松市大字笠戸島深浦東23,山口県,下松市,大字笠戸島深浦東,23,,33.9481519,131.8255473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,https://kudamatsu-kanko.jp/fukaura-hachiangu/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100055,山口県下松市,深浦稲荷,フカウライナリ,,,352071,,下松市大字笠戸島深浦東,山口県,下松市,大字笠戸島深浦東,,,33.9471466,131.8265837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100056,山口県下松市,深浦海中鳥居,フカウラカイチュウトリイ,,,352071,,下松市大字笠戸島深浦西1233,山口県,下松市,大字笠戸島深浦西,1233,,33.94570349999999,131.8209637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100057,山口県下松市,火振岬,ヒフリサキ,,,352071,,下松市大字笠戸島,山口県,下松市,大字笠戸島,,,33.9289782,131.8184444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440001,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100058,山口県下松市,紅蘭,コウラン,,,352071,,下松市駅南1丁目5-10,山口県,下松市,駅南1丁目,5-10,,34.0098842,131.8655285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440007,,,https://www.kouran.co.jp/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100059,山口県下松市,中華そば　蘭らん,チュウカソバ　ランラン,,,352071,,下松市藤光町1丁目10-34,山口県,下松市,藤光町1丁目,10-34,,34.0228791,131.8663478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440028,,,https://kudamatsu-kanko.jp/gyukotsuramen/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100060,山口県下松市,中華そば　北斗亭,チュウカソバ　ホクトテイ,,,352071,,下松市北斗町12-19,山口県,下松市,北斗町,12-19,,34.0092071,131.8686026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440012,,,https://kudamatsu-kanko.jp/gyukotsuramen/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100061,山口県下松市,牛骨ラーメンと焼鳥の店「鳥勝」,ギュウコツラーメントヤキトリノミセ「トリカツ」,,,352071,,下松市大字西豊井1368-13,山口県,下松市,大字西豊井,1368-13,,34.007677,131.8660245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440011,,,https://kudamatsu-kanko.jp/gyukotsuramen/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100062,山口県下松市,ビジネスホテルくだまつ,ビジネスホテルクダマツ,,,352071,,下松市駅南1丁目6-6,山口県,下松市,駅南1丁目,6-6,,34.0092332,131.8669056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440007,,,https://kudamatsu-kanko.jp/businesshotelkudamatsu/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100063,山口県下松市,ビジネスホテルみやこ,ビジネスホテルミヤコ,,,352071,,下松市大手町2丁目9-15,山口県,下松市,大手町2丁目,9-15,,34.013058,131.868445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440015,,,https://kudamatsu-kanko.jp/businesshotel-miyako/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100064,山口県下松市,くだまつステーションホテル,クダマツステーションホテル,,,352071,,下松市北斗町4-11,山口県,下松市,北斗町,4-11,,34.01,131.867953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440012,,,https://kudamatsu-kanko.jp/stationhotel/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100065,山口県下松市,HOTEL AZ 山口下松店 ,ホテル　アズ　ヤマグチクダマツテン,,,352071,,下松市望町4丁目7-17,山口県,下松市,望町4丁目,7-17,,34.0278953,131.8547325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440072,,,https://www.az-hotel.com/kudamatsu/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100066,山口県下松市,サンホテル下松,サンホテルクダマツ,,,352071,,下松市望町1丁目3-34,山口県,下松市,望町1丁目,3-34,,34.0299203,131.8620398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440072,,,https://sunhotel-kudamatsu.com/,下松観光ガイドブック「観光マップ」,
352071,,KD0001100067,山口県下松市,かめや旅館,カメヤリョカン,,,352071,,下松市大手町1丁目6-11,山口県,下松市,大手町1丁目,6-11,,34.01178,131.866015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440015,,,,下松観光ガイドブック「観光マップ」,
352071,,KD0001100068,山口県下松市,天王森古墳,テンノウモリコフン,,,352071,,下松市桜町３丁目17-1,山口県,下松市,桜町３丁目,17-1,,34.01971,131.8670055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440019,,,https://www.city.kudamatsu.lg.jp/gakusyuu/bunka/bunka.html,下松観光ガイドブック「観光マップ」,
