都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
350001,350001461030,山口県,1030,松崎小学校,マツザキショウガッコウガッコウ,防府市東松崎町１－１,,34.059109,131.575989,屋内運動場入口外側,,,,,,,,,,,
350001,350001461031,山口県,1031,華浦小学校,ハナウラショウガッコウガッコウ,防府市華浦２－２－２,,34.03949,131.567963,来客用玄関外側,,,,,,,,,,,
350001,350001461032,山口県,1032,新田小学校,ニッタショウガッコウガッコウ,防府市大字新田１０１４－１,,34.03207,131.571701,屋内運動場入口外側,,,,,,,,,,,
350001,350001461033,山口県,1033,野島小学校・野島中学校,ノジマショウガッコウガッコウノシマチュウガッコウ,防府市大字野島１５８－１,,33.940872,131.695419,屋内運動場１階外側,,,,,,,,,,,
350001,350001461034,山口県,1034,向島小学校,ムコウジマショウガッコウガッコウ,防府市大字向島７７５,,34.017887,131.578537,来客用玄関外側,,,,,,,,,,,
350001,350001461035,山口県,1035,中関小学校,ナカセキショウガッコウガッコウ,防府市大字浜方７４６,,34.018093,131.549194,屋内運動場入口外側,,,,,,,,,,,
350001,350001461036,山口県,1036,西浦小学校,ニシウラショウガッコウガッコウ,防府市大字西浦１９４４－１,,34.023003,131.521255,屋内運動場入口外側,,,,,,,,,,,
350001,350001461037,山口県,1037,華城小学校,ハナギショウガッコウガッコウ,防府市華城中央２－２－１,,34.04649,131.54454,正面玄関外側,,,,,,,,,,,
350001,350001461038,山口県,1038,佐波小学校,サナミショウガッコウガッコウ,防府市八王子２－６－１０,,34.057682,131.565445,来客用玄関外側,,,,,,,,,,,
350001,350001461039,山口県,1039,小野小学校,オノショウガッコウガッコウ,防府市大字奈美６３３－１,,34.133392,131.587479,屋内運動場入口外側,,,,,,,,,,,
350001,350001461040,山口県,1040,右田小学校,ミギタショウガッコウガッコウ,防府市大字下右田８６－２,,34.081367,131.557755,保健室外側,,,,,,,,,,,
350001,350001461041,山口県,1041,玉祖小学校,タマソショウガッコウガッコウ,防府市大字大崎１８０２,,34.057098,131.530518,特別教室棟１階通路,,,,,,,,,,,
350001,350001461042,山口県,1042,大道小学校,オオミチショウガッコウガッコウ,防府市台道４００－１,,34.058926,131.489609,屋内運動場入口外側,,,,,,,,,,,
350001,350001461043,山口県,1043,富海中学校,トノミチュウガッコウガッコウ,防府市大字富海１２４６－１,,34.052181,131.647324,生徒昇降口前,,,,,,,,,,,
350001,350001461044,山口県,1044,牟礼中学校,ムレチュウガッコウガッコウ,防府市敷山町１－１,,34.064877,131.598328,正面玄関外側,,,,,,,,,,,
350001,350001461045,山口県,1045,国府中学校,コクフチュウガッコウガッコウ,防府市国衙５－１１－１９,,34.055237,131.5914,屋内運動場入口外側,,,,,,,,,,,
350001,350001461046,山口県,1046,桑山中学校,クワヤマチュウガッコウガッコウ,防府市桑山２－７－２６,,34.045128,131.56221,屋内運動場入口外側,,,,,,,,,,,
350001,350001461047,山口県,1047,華陽中学校,ハナヨウチュウガッコウガッコウ,防府市大字田島７１９－２,,34.025959,131.560715,屋内運動場入口外側,,,,,,,,,,,
350001,350001461048,山口県,1048,華西中学校,ハナニシチュウガッコウガッコウ,防府市大字西浦５４５－２,,34.033157,131.528397,正面玄関外側,,,,,,,,,,,
350001,350001461049,山口県,1049,佐波中学校,サナミチュウガッコウガッコウ,防府市迫戸町１６－３７,,34.065479,131.570251,正面玄関外側,,,,,,,,,,,
350001,350001461050,山口県,1050,小野中学校,オノチュウガッコウガッコウ,防府市大字奈美２５,,34.133392,131.587479,屋内運動場入口外側,,,,,,,,,,,
350001,350001461051,山口県,1051,右田中学校,ミギタチュウガッコウガッコウ,防府市大字高井５６５,,34.070171,131.556046,屋内運動場入口外側,,,,,,,,,,,
350001,350001461052,山口県,1052,大道中学校,オオミチチュウガッコウガッコウ,防府市台道１１２４,,34.070347,131.482498,屋内運動場入口外側,,,,,,,,,,,
350001,350001461053,山口県,1053,山口トヨペット(株)防府東店,ヤマグチトヨペットカブホウフヒガシテン,防府市国衙５－９－１５,,34.05545,131.588531,ショールーム,,,,,,,,,,,
350001,350001461054,山口県,1054,山口トヨペット(株)防府西店,ヤマグチトヨペットカブホウフニシテン,防府市植松４５１,,34.048759,131.530777,ショールーム,,,,,,,,,,,
350001,350001461055,山口県,1055,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,３階,,,,,,,,,,,
350001,350001461056,山口県,1056,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,４階,,,,,,,,,,,
350001,350001461057,山口県,1057,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,５階,,,,,,,,,,,
350001,350001461058,山口県,1058,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,６階,,,,,,,,,,,
350001,350001461059,山口県,1059,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,７階,,,,,,,,,,,
350001,350001461060,山口県,1060,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,地下１階,,,,,,,,,,,
350001,350001461061,山口県,1061,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,外来１階,,,,,,,,,,,
350001,350001461062,山口県,1062,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,透析室（１階）,,,,,,,,,,,
350001,350001461063,山口県,1063,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,ＭＲＩ室（１階）,,,,,,,,,,,
350001,350001461064,山口県,1064,山口県立総合医療センター,ヤマグチケンリツソウゴウイリョウセンター,防府市大字大崎７７,,34.066044,131.542175,感染症センター,,,,,,,,,,,
350001,350001461065,山口県,1065,日本ペイント・オートモーティブコーティングス（株）,ニホンペイント・オートモーティブコーティングスカブ,防府市西浦字一ノ桝８５１,,34.024944,131.532211,事務棟入口（１階）,,,,,,,,,,,
350001,350001461066,山口県,1066,アルク防府店,アルクホウフテン,防府市天神1丁目１０－４２,,34.055519,131.572586,店舗内,,,,,,,,,,,
350001,350001461067,山口県,1067,アルク牟礼店,アルクムレテン,防府市大字江泊１９３６番地,,34.051945,131.562775,店舗内,,,,,,,,,,,
350001,350001461068,山口県,1068,サンマート華城店,サンマートハナシロミセ,防府市桑南２－６－２８,,34.041584,131.558426,店舗内,,,,,,,,,,,
350001,350001461069,山口県,1069,アルク中関店,アルクナカセキテン,防府市大字田島１４９７番地の２,,34.051945,131.562775,サービスカウンター,,,,,,,,,,,
350001,350001461070,山口県,1070,アルク三田尻店,アルクミタジリテン,防府市大字新田１１１番地の５,,,,サービスカウンター,,,,,,,,,,,
350001,350001461071,山口県,1071,下松市役所,クダマツシヤクショ,下松市大手町３－３－３,,34.014641,131.869873,"総合案内
（１Ｆ正面玄関
入口）",,,,,,,,,,,
350001,350001461072,山口県,1072,下松市役所（下松市子ども会育成連絡協議会事務局）,クダマツシヤクショ（クダマツシコドモカイイクセイレンラクキョウギカイジムキョク）,下松市大手町３－３－３,,34.014641,131.869873,"社会教育課
（５Ｆ）",,,,,,,,,,,
350001,350001461073,山口県,1073,下松市消防本部,クダマツシショウボウホンブ,下松市大手町３－３－１,,34.014641,131.869873,事務所内,,,,,,,,,,,
350001,350001461074,山口県,1074,恋路クリーンセンター,コイジクリーンセンター,下松市大字河内３４０,,34.012997,131.897705,中央制御室,,,,,,,,,,,
350001,350001461075,山口県,1075,恋路クリーンセンター,コイジクリーンセンター,下松市大字河内３４０,,34.012997,131.897705,搬入指導係控え室,,,,,,,,,,,
350001,350001461076,山口県,1076,御屋敷山斎場,オヤシキヤマサイジョウ,下松市大字西豊井１５４－２,,34.014011,131.873764,受付室,,,,,,,,,,,
350001,350001461077,山口県,1077,下松小学校,クダマツショウガッコウ,下松市大字西豊井６９８,,34.012146,131.871201,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461078,山口県,1078,久保小学校,クボショウガッコウ,下松市大字河内７６４－３,,34.030331,131.907944,"屋外
屋内運動場
玄関横",,,,,,,,,,,
350001,350001461079,山口県,1079,公集小学校,コウシュウショウガッコウ,下松市潮音町１－１－１,,34.018887,131.855804,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461080,山口県,1080,花岡小学校,ハナオカショウガッコウ,"下松市大字末武上
２５５－１",,34.038342,131.874268,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461081,山口県,1081,豊井小学校,トヨイショウガッコウ,"下松市大字東豊井
１１３４",,33.999191,131.877563,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461082,山口県,1082,笠戸小学校,カサドガッコウ,"下松市大字笠戸島
２０９",,33.976784,131.86673,"屋外
児童昇降口横",,,,,,,,,,,
350001,350001461083,山口県,1083,江の浦小学校,エノウラショウガッコウ,"下松市大字笠戸島
３２－３８",,33.960022,131.854721,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461084,山口県,1084,中村小学校,ナカムラショウガッコウ,下松市清瀬町２－６－１,,34.029602,131.855225,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461085,山口県,1085,米川小学校,ヨネガワショウガッコウ,下松市大字下谷４４１－２,,34.089306,131.872162,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461086,山口県,1086,東陽小学校,トウヨウショウガッコウ,下松市東陽４－１７－１,,34.035286,131.912781,"屋外
正面玄関横",,,,,,,,,,,
350001,350001461087,山口県,1087,下松中学校,クダマツナカガッコウ,下松市古川町２－１－１,,34.008625,131.870865,"屋内運動場
（玄関ホール）",,,,,,,,,,,
350001,350001461088,山口県,1088,久保中学校,クボナカガッコウ,下松市山田１２２,,34.03027,131.900269,"屋内運動場
（玄関ホール）",,,,,,,,,,,
350001,350001461089,山口県,1089,末武中学校,スエタケナカガッコウ,下松市美里町１－８－１,,34.025513,131.865234,"屋内運動場
（玄関ホール）",,,,,,,,,,,
350001,350001461090,山口県,1090,下松高等学校,クダマツコウトウガッコウ,下松市若宮町１２－１,,34.022049,131.880753,玄関（管理棟１階）,,,,,,,,,,,
350001,350001461091,山口県,1091,下松高等学校,クダマツコウトウガッコウ,下松市若宮町１２－１,,34.022049,131.880753,第２グランド（管理室）,,,,,,,,,,,
350001,350001461092,山口県,1092,華陵高等学校,カリョウコウトウガッコウ,下松市末武上２１７－２,,34.040615,131.87619,玄関（管理棟1階）,,,,,,,,,,,
350001,350001461093,山口県,1093,下松工業高等学校,クダマツコウギョウコウトウガッコウ,下松市美里町４－１３－１,,34.019661,131.858902,事務室前（管理棟１階）,,,,,,,,,,,
350001,350001461094,山口県,1094,下松工業高等学校,クダマツコウギョウコウトウガッコウ,下松市美里町４－１３－１,,34.019661,131.858902,体育館,,,,,,,,,,,
350001,350001461095,山口県,1095,山口県下松自動車学校,ヤマグチケンクダマツジドウシャガッコウ,下松市大字切山２９６－２,,34.047707,131.923767,-,,,,,,,,,,,
350001,350001461096,山口県,1096,周南記念病院,シュウナンキネンビョウイン,下松市生野屋南１－１０－１,,34.032719,131.876617,-,,,,,,,,,,,
350001,350001461097,山口県,1097,下松市休日診療所,クダマツシキュウジツシンリョウジョ,下松市中央町２１－１,,34.018559,131.86322,診察室,,,,,,,,,,,
350001,350001461098,山口県,1098,きくや・和楽園,キクヤ・ワラクエン,下松市大字西豊井１４０４－１０,,34.01038,131.859848,-,,,,,,,,,,,
350001,350001461099,山口県,1099,下松市地域交流センター,クダマツシチイキコウリュウセンター,下松市生野屋南１－１１－１,,34.031567,131.876175,"エントランスホール
（本館棟１階）",,,,,,,,,,,
350001,350001461100,山口県,1100,下松福祉センター,クダマツフクシセンター,下松市大字末武下６１７－２,,34.012562,131.85817,１階ロビー,,,,,,,,,,,
350001,350001461101,山口県,1101,スターピアくだまつ,スターピアクダマツ,下松市中央町２１－１,,34.018559,131.86322,事務所,,,,,,,,,,,
350001,350001461102,山口県,1102,下松市民体育館,クダマツシミンタイイクカン,下松市西柳１－１－１,,34.015388,131.867432,事務室入口前,,,,,,,,,,,
350001,350001461103,山口県,1103,下松市温水プール,クダマツシオンスイプール,下松市大字河内１４０,,34.020683,131.879623,受付（１F),,,,,,,,,,,
350001,350001461104,山口県,1104,下松スポーツ公園　体育館,クダマツスポーツコウエン　タイイクカン,下松市大字河内１４０,,34.020683,131.879623,"エントランスホール
（１階）",,,,,,,,,,,
350001,350001461105,山口県,1105,白須那カントリークラブ,シラスナカントリークラブ,下松市大字下谷２６９－１,,34.089306,131.872162,-,,,,,,,,,,,
350001,350001461106,山口県,1106,国民宿舎大城,コクミンシュクシャダイシロ,下松市大字笠戸島１４－１,,33.969048,131.84671,フロント,,,,,,,,,,,
350001,350001461107,山口県,1107,くだまつ健康パーク,クダマツケンコウパーク,下松市大字平田４４８,,34.014679,131.842453,事務所,,,,,,,,,,,
350001,350001461108,山口県,1108,カーブス　ザ・モール周南,カーブス　ザ・モールシュウナン,下松市中央町２１－３,,34.018559,131.86322,-,,,,,,,,,,,
350001,350001461109,山口県,1109,ＪＡ周南・東部営農センター下松店,ＪＡシュウナン・トウブエイノウセンタークダマツテン,下松市西柳２－３－４８,,34.017063,131.864075,店舗内,,,,,,,,,,,
350001,350001461110,山口県,1110,MOVIX周南,MOVIXシュウナン,下松市中央町２１－３,,34.018559,131.86322,-,,,,,,,,,,,
350001,350001461111,山口県,1111,Ｐ・ＺＡＣ２,Ｐ・ＺＡＣ２,下松市南花岡１－７－１,,34.030842,131.862518,-,,,,,,,,,,,
