都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
352012,152,山口県,下関市,長府第四保育園,チョウフダイヨンホイクエン,下関市長府八幡町1-1,,,,,,,,,,,,,,,
352012,153,山口県,下関市,消防防災学習館火消鯨,ショウボウボウサイガクシュウカンヒケシクジラ,下関市岬之町17-1,,,,,,,,,,,,,,,
352012,154,山口県,下関市,吉見保育園,ヨシミホイクエン,下関市吉見本町1-16-1,,,,,,,,,,,,,,,
352012,155,山口県,下関市,幡生保育園,ハタブホイクエン,下関市幡生宮の下町25-13,,,,,,,,,,,,,,,
352012,156,山口県,下関市,菊川こども園,キクガワコドモエン,下関市菊川町大字下岡枝字高田1504,,,,,,,,,,,,,,,
352012,157,山口県,下関市,川棚温泉交流センター,カワタナオンセンコウリュウセンター,下関市川棚5180番地,,,,,,,,,,,,,,,
352012,158,山口県,下関市,豊田下こども園,トヨタシモコドモエン,下関市豊田町大字手洗字堂木273-1,,,,,,,,,,,,,,,
352012,159,山口県,下関市,双葉保育園,フタバホイクエン,下関市豊浦町大字宇賀字川嶋2984-1,,,,,,,,,,,,,,,
352012,160,山口県,下関市,下関市夜間急病診療所,シモノセキシヤカンキュウビョウシンリョウショ,下関市大学町二丁目1-3,,,,,,,,,,,,,,,
352012,161,山口県,下関市,黒井こども園,クロイコドモエン,下関市豊浦町大字黒井字下北岡2159-1,,,,,,,,,,,,,,,
352012,162,山口県,下関市,きくがわ児童クラブ,キクガワジドウクラブ,"下関市菊川町大字下岡枝9番地2
旧青年交流館",,,,,,,,,,,,,,,
352012,163,山口県,下関市,下関市立美術館,シモノセキシリツビジュツカン,下関市長府黒門東町1-1,,,,,,,,,,,,,,,
352012,164,山口県,下関市,下関市こども発達ｾﾝﾀｰ,シモノセキシコドモハッタツセンター,下関市幡生本町26-21,,,,,,,,,,,,,,,
352012,165,山口県,下関市,ゆたか児童館,ユタカジドウカン,下関市川中豊町7-8-9,,,,,,,,,,,,,,,
352012,166,山口県,下関市,ひかり童夢,ヒカリドウム,下関市上田中町1-16-1,,,,,,,,,,,,,,,
352012,167,山口県,下関市,ひこまる,ヒコマル,下関市彦島江の浦町1-4-30,,,,,,,,,,,,,,,
352012,168,山口県,下関市,下関市民ｾﾝﾀｰ,シモノセキシミンセンター,下関市東神田町9-1,,,,,,,,,,,,,,,
352012,169,山口県,下関市,下関市勤労者総合福祉ｾﾝﾀｰ,シモノセキシキンロウシャソウゴウフクシセンター,下関市長府扇町4-10,,,,,,,,,,,,,,,
352012,170,山口県,下関市,下関市菊川運動公園,シモノセキシキクガワウンドウコウエン,下関市菊川町下岡枝61-1,,,,,,,,,,,,,,,
352012,171,山口県,下関市,障害者ｽﾎﾟｰﾂｾﾝﾀｰ,ショウガイシャスポーツセンター,下関市貴船町3-4-1,,,,,,,,,,,,,,,
352012,172,山口県,下関市,下関市吉見体育館,シモノセキシヨシミタイイクカン,下関市吉見里町1-9-1,,,,,,,,,,,,,,,
