trans_id,lang,translation
龍頭山登山口,zh-cn,龙头山登山口
龍頭山登山口,zh-tw,龍頭山登山口
都志見,ja,都志見
都志見,ja-Hrkt,つしみ
都志見,en,Tsushimi
都志見,ko,쓰시미
都志見,zh-cn,都志见
都志見,zh-tw,都誌見
龍頭神社前,ja,龍頭神社前
龍頭神社前,ja-Hrkt,りゅうづじんじゃまえ
龍頭神社前,en,Ryuzu Jinja-mae (Ryuzu Jinja Shrine)
龍頭神社前,ko,류즈진자 신사
龍頭神社前,zh-cn,龙头神社前
龍頭神社前,zh-tw,龍頭神社前
都志見原,ja,都志見原
都志見原,ja-Hrkt,つしみばら
都志見原,en,Tsushimibara
都志見原,ko,쓰시미바라
都志見原,zh-cn,都志见原
都志見原,zh-tw,都誌見原
掛札,ja,掛札
掛札,ja-Hrkt,かけふだ
掛札,en,Kakefuda
掛札,ko,가케후다
掛札,zh-cn,卦札
掛札,zh-tw,卦劄
細河内,ja,細河内
細河内,ja-Hrkt,ほそこうち
細河内,en,Hosogochi
細河内,ko,호소고치
細河内,zh-cn,细河内
細河内,zh-tw,細河內
細河内下,ja,細河内下
細河内下,ja-Hrkt,ほそこうちしも
細河内下,en,Hosogochi-shimo
細河内下,ko,호소고치 시모
細河内下,zh-cn,细河内下
細河内下,zh-tw,細河內下
都谷田の原,ja,都谷田の原
都谷田の原,ja-Hrkt,つだにたのはら
都谷田の原,en,Tsudani Tanohara
都谷田の原,ko,쓰다니 타노하라
都谷田の原,zh-cn,都谷田之原
都谷田の原,zh-tw,都谷田之原
戸谷,ja,戸谷
戸谷,ja-Hrkt,とだに
戸谷,en,Todani
戸谷,ko,도다니
戸谷,zh-cn,户谷
戸谷,zh-tw,戶谷
戸谷上,ja,戸谷上
戸谷上,ja-Hrkt,とだにかみ
戸谷上,en,Todani-kami
戸谷上,ko,도다니 카미
戸谷上,zh-cn,户谷上
戸谷上,zh-tw,戶谷上
向原口,ja,向原口
向原口,ja-Hrkt,むかいはらぐち
向原口,en,Mukaihara-guchi
向原口,ko,무카이하라 구치
向原口,zh-cn,向原口
