trans_id,lang,translation,category,station_sid,course_sid
廿日市西高校前,zh-cn,廿日市西高中前,stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
廿日市西高校前,zh-tw,廿日市西高中前,stop_name,1791ed7b-c371-4c61-a76b-2fe3320247c7,
阿品台北中央,ja,阿品台北中央,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,ja-Hrkt,あじなだいきたちゅうおう,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,en,Ajinadai-kita-chuo,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,ko,아지나다이 키타 추오,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,zh-cn,阿品台北中央,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,zh-tw,阿品臺北中央,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北,ja,阿品台北,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
阿品台北,ja-Hrkt,あじなだいきた,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
阿品台北,en,Ajinadai-kita,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
阿品台北,ko,아지나다이 키타,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
阿品台北,zh-cn,阿品台北,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
阿品台北,zh-tw,阿品臺北,stop_name,aa1a64d4-ca99-4a57-82bf-c220532948b8,
ふじタウン北,ja,ふじタウン北,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
ふじタウン北,ja-Hrkt,ふじたうんきた,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
ふじタウン北,en,Fuji Town-kita,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
ふじタウン北,ko,후지타운 키타,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
ふじタウン北,zh-cn,Fuji Town北,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
ふじタウン北,zh-tw,Fuji Town北,stop_name,6c5ee204-ddf7-4d93-b9fa-22b6dd158309,
矢野駅前,ja,矢野駅前,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野駅前,ja-Hrkt,やのえきまえ,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野駅前,en,Yano Sta.,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野駅前,ko,야노 역,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野駅前,zh-cn,矢野站前,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野駅前,zh-tw,矢野站前,stop_name,e075b8f6-5656-467c-9a18-2a752cb7b190,
矢野西四丁目,ja,矢野西四丁目,stop_name,f562252d-3b4d-4803-b150-663316a07f26,
矢野西四丁目,ja-Hrkt,やのにしよんちょうめ,stop_name,f562252d-3b4d-4803-b150-663316a07f26,
矢野西四丁目,en,Yano-nishi-yonchome (Yano-nishi 4),stop_name,f562252d-3b4d-4803-b150-663316a07f26,
矢野西四丁目,ko,야노니시 4초메,stop_name,f562252d-3b4d-4803-b150-663316a07f26,
矢野西四丁目,zh-cn,矢野西四丁目,stop_name,f562252d-3b4d-4803-b150-663316a07f26,
矢野西四丁目,zh-tw,矢野西四丁目,stop_name,f562252d-3b4d-4803-b150-663316a07f26,
