赤ちゃんの駅_全国地方公共団体コード,施設_ID,赤ちゃんの駅_ID,赤ちゃんの駅_名称,赤ちゃんの駅_名称（カナ）,赤ちゃんの駅_名称（英字）,赤ちゃんの駅_説明,赤ちゃんの駅_緯度,赤ちゃんの駅_経度,赤ちゃんの駅_座標参照系,赤ちゃんの駅_座標参照系コード,赤ちゃんの駅_施設区分,赤ちゃんの駅_お湯の有無,,
352152,BSOAN0000053,BSOAN0000053,共楽保育園子育て支援センター,,,赤ちゃん向けの施設です,34.0296543,131.8451895,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000054,BSOAN0000054,子育て支援センターみんなのおうち城ヶ丘,,,赤ちゃん向けの施設です,34.042243,131.841948,世界測地系,EPSG:4326,市区町村,,,
352152,BSOAN0000055,BSOAN0000055,まちのポート,,,赤ちゃん向けの施設です,34.05115,131.80426,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000056,BSOAN0000056,フジ新南陽店,,,赤ちゃん向けの施設です,34.072841,131.769376,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000057,BSOAN0000057,クスリ岩崎チェーン　徳山秋月店,,,赤ちゃん向けの施設です,34.052567,131.827781,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000058,BSOAN0000058,ドコモショップ周南店,,,赤ちゃん向けの施設です,34.033221,131.835799,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000059,BSOAN0000059,株式会社エディオン　周南本店,,,赤ちゃん向けの施設です,34.070065,131.783160,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000060,BSOAN0000060,マックスバリュ西日本（株）徳山東店　,,,赤ちゃん向けの施設です,34.032383,131.836357,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000061,BSOAN0000061,bloom&dream,,,赤ちゃん向けの施設です,34.051785,131.805069,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000062,BSOAN0000062,ここと　とくやま店,,,赤ちゃん向けの施設です,34.059030,131.816542,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000063,BSOAN0000063,ホームプラザナフコ周南店,,,赤ちゃん向けの施設です,34.038790,131.846295,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000064,BSOAN0000064,アルク徳山中央店,,,赤ちゃん向けの施設です,34.060710,131.810767,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000065,BSOAN0000065,アルク慶万店,,,赤ちゃん向けの施設です,34.049658,131.813161,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000066,BSOAN0000066,アルク徳山東店,,,赤ちゃん向けの施設です,34.043757,131.814125,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000067,BSOAN0000067,アルク今宿店,,,赤ちゃん向けの施設です,34.063231,131.800483,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000068,BSOAN0000068,株式会社　林写真館,,,赤ちゃん向けの施設です,34.052420,131.806598,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000069,BSOAN0000069,徳山医師会病院,,,赤ちゃん向けの施設です,34.049905,131.816053,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000070,BSOAN0000070,ホテルサンルート徳山,,,赤ちゃん向けの施設です,34.050641,131.800308,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000071,BSOAN0000071,はるやま徳山店,,,赤ちゃん向けの施設です,34.062290,131.807492,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000072,BSOAN0000072,株式会社　大進本店徳山店,,,赤ちゃん向けの施設です,34.059986,131.813060,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000073,BSOAN0000073,スーパーセンタートライアル周南店,,,赤ちゃん向けの施設です,34.064560,131.778422,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000074,BSOAN0000074,レストラン　シーホース,,,赤ちゃん向けの施設です,34.016670,131.812937,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000075,BSOAN0000075,和風処　鐘楼亭,,,赤ちゃん向けの施設です,34.060098,131.810539,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000076,BSOAN0000076,せせらぎ・豊鹿里パーク管理棟,,,赤ちゃん向けの施設です,34.239456,131.818627,世界測地系,EPSG:4326,民間,,,
