service_id,date,exception_type
毎日運行1,20250914,1
毎日運行1,20250915,1
毎日運行1,20250916,1
毎日運行1,20250917,1
毎日運行1,20250918,1
毎日運行1,20250919,1
毎日運行1,20250920,1
毎日運行1,20250921,1
毎日運行1,20250922,1
毎日運行1,20250923,1
毎日運行1,20250924,1
毎日運行1,20250925,1
毎日運行1,20250926,1
毎日運行1,20250927,1
毎日運行1,20250928,1
毎日運行1,20250929,1
毎日運行1,20250930,1
月・木曜日運行,20250403,1
月・木曜日運行,20250407,1
月・木曜日運行,20250410,1
月・木曜日運行,20250414,1
月・木曜日運行,20250417,1
月・木曜日運行,20250421,1
月・木曜日運行,20250424,1
月・木曜日運行,20250428,1
月・木曜日運行,20250501,1
月・木曜日運行,20250508,1
月・木曜日運行,20250512,1
月・木曜日運行,20250515,1
月・木曜日運行,20250519,1
月・木曜日運行,20250522,1
月・木曜日運行,20250526,1
月・木曜日運行,20250529,1
月・木曜日運行,20250602,1
月・木曜日運行,20250605,1
月・木曜日運行,20250609,1
月・木曜日運行,20250612,1
月・木曜日運行,20250616,1
月・木曜日運行,20250619,1
月・木曜日運行,20250623,1
月・木曜日運行,20250626,1
月・木曜日運行,20250630,1
月・木曜日運行,20250703,1
月・木曜日運行,20250707,1
月・木曜日運行,20250710,1
月・木曜日運行,20250714,1
月・木曜日運行,20250717,1
月・木曜日運行,20250724,1
月・木曜日運行,20250728,1
月・木曜日運行,20250731,1
月・木曜日運行,20250804,1
月・木曜日運行,20250807,1
月・木曜日運行,20250814,1
月・木曜日運行,20250818,1
月・木曜日運行,20250821,1
月・木曜日運行,20250825,1
月・木曜日運行,20250828,1
月・木曜日運行,20250901,1
月・木曜日運行,20250904,1
月・木曜日運行,20250908,1
月・木曜日運行,20250911,1
月・木曜日運行,20250918,1
月・木曜日運行,20250922,1
月・木曜日運行,20250925,1
月・木曜日運行,20250929,1
火・水・金曜日運行,20250401,1
火・水・金曜日運行,20250402,1
火・水・金曜日運行,20250404,1
火・水・金曜日運行,20250408,1
火・水・金曜日運行,20250409,1
火・水・金曜日運行,20250411,1
火・水・金曜日運行,20250415,1
火・水・金曜日運行,20250416,1
火・水・金曜日運行,20250418,1
火・水・金曜日運行,20250422,1
火・水・金曜日運行,20250423,1
火・水・金曜日運行,20250425,1
火・水・金曜日運行,20250430,1
火・水・金曜日運行,20250502,1
火・水・金曜日運行,20250507,1
火・水・金曜日運行,20250509,1
火・水・金曜日運行,20250513,1
火・水・金曜日運行,20250514,1
火・水・金曜日運行,20250516,1
火・水・金曜日運行,20250520,1
火・水・金曜日運行,20250521,1
火・水・金曜日運行,20250523,1
火・水・金曜日運行,20250527,1
火・水・金曜日運行,20250528,1
火・水・金曜日運行,20250530,1
